Date,全體等權,官方分類:公用,官方分類:地產,官方分類:工商,官方分類:金融,行業:公用,行業:原材料,行業:地產,行業:工業,行業:必需消費,行業:科技,行業:能源,行業:通訊/互聯網,行業:醫療,行業:金融,行業:非必需消費,風格:低波,風格:動量,風格:大市值,風格:高息,2800.HK
2010-07-16,1.008197,0.983684,1.041947,1.002354,1.009032,0.983684,1.023256,1.049185,1.013049,1.005183,0.974560,0.959814,0.998390,,1.009032,1.023557,0.996602,,,1.011463,1.004866
2010-07-19,1.002639,0.983102,1.037118,0.997932,0.998841,0.983102,1.000000,1.043331,1.007859,1.006909,0.968689,0.955557,1.008350,,0.998841,1.001178,0.991259,,,1.002564,0.995134
2010-07-20,1.013633,0.983223,1.050649,1.009739,1.011232,0.983223,1.036545,1.054842,1.022867,1.020727,0.982387,0.969647,1.002215,,1.011232,1.017668,1.001067,,,1.012355,1.004866
2010-07-21,1.024480,0.986521,1.054646,1.024664,1.021375,0.986521,1.069767,1.064226,1.034242,1.027636,0.974560,0.990679,1.016009,,1.021375,1.022379,1.004451,,,1.018007,1.019465
2010-07-22,1.031205,0.987829,1.058566,1.034484,1.026104,0.987829,1.078073,1.071146,1.050968,1.025910,0.974560,0.995114,1.021016,,1.026104,1.029446,1.010987,,,1.025651,1.021898
2010-07-23,1.044996,0.986293,1.071554,1.053361,1.037129,0.986293,1.094684,1.091857,1.067086,1.031089,1.007828,1.010558,1.027736,,1.037129,1.071849,1.018273,,,1.039694,1.034063
2010-07-26,1.047930,0.985960,1.082922,1.056311,1.036506,0.985960,1.093023,1.101958,1.063537,1.046633,1.070450,1.011030,1.017582,,1.036506,1.101296,1.020269,,,1.042249,1.034063
2010-07-27,1.051111,0.983498,1.078726,1.063218,1.039347,0.983498,1.114618,1.096846,1.069438,1.044907,1.066536,1.017453,1.033249,,1.039347,1.110718,1.019435,,,1.042151,1.041363
2010-07-28,1.053050,0.992578,1.067736,1.064637,1.046703,0.992578,1.114618,1.083799,1.073284,1.060451,1.056751,1.016640,1.039710,,1.046703,1.111896,1.021330,,,1.045280,1.048662
2010-07-29,1.055070,0.994365,1.069298,1.064521,1.053077,0.994365,1.114618,1.083196,1.076395,1.053542,1.060665,1.012773,1.036726,,1.053077,1.130742,1.021852,,,1.049352,1.048662
2010-07-30,1.056035,0.996982,1.067458,1.069253,1.047918,0.996982,1.142857,1.081441,1.087073,1.019001,1.068493,1.004419,1.048298,,1.047918,1.148410,1.021592,,,1.050642,1.041363
2010-08-02,1.076803,1.005170,1.090597,1.092298,1.068305,1.005170,1.151163,1.104347,1.106780,1.031089,1.162427,1.028582,1.065355,,1.068305,1.162544,1.034894,,,1.071131,1.060827
2010-08-03,1.077115,0.999456,1.103013,1.089049,1.070682,0.999456,1.104651,1.115441,1.103094,1.032819,1.199609,1.031843,1.060451,,1.070682,1.130742,1.039727,,,1.066158,1.065693
2010-08-04,1.081457,1.007455,1.109083,1.094666,1.070059,1.007455,1.131229,1.120296,1.107933,1.041454,1.197652,1.027495,1.079844,,1.070059,1.131920,1.044069,,,1.069599,1.068127
2010-08-05,1.080162,0.998713,1.095591,1.099106,1.068344,0.998713,1.132890,1.108149,1.118191,1.050089,1.199609,1.026892,1.079795,,1.068344,1.138987,1.042414,,,1.067526,1.070560
2010-08-06,1.084056,1.004407,1.103240,1.098735,1.077135,1.004407,1.126246,1.109473,1.120539,1.051816,1.189824,1.029828,1.078649,,1.077135,1.157833,1.049143,,,1.078443,1.075426
2010-08-09,1.089262,1.004413,1.118073,1.104838,1.077251,1.004413,1.111296,1.126936,1.132412,1.050089,1.195695,1.026882,1.086653,,1.077251,1.159010,1.055953,,,1.084887,1.080292
2010-08-10,1.074780,0.999736,1.105165,1.087943,1.062163,0.999736,1.084718,1.115124,1.120076,1.032819,1.140900,1.008905,1.073358,,1.062163,1.138987,1.046042,,,1.071254,1.063260
2010-08-11,1.063080,1.000355,1.105061,1.072461,1.045579,1.000355,1.071429,1.113345,1.105954,1.041454,1.135029,0.991850,1.052370,,1.045579,1.097762,1.040527,,,1.063173,1.058394
2010-08-12,1.049500,0.992288,1.095610,1.052620,1.038984,0.992288,1.051495,1.097138,1.086758,1.024180,1.103718,0.971431,1.047490,,1.038984,1.075383,1.035036,,,1.058092,1.046229
2010-08-13,1.052077,0.995347,1.089207,1.059213,1.038928,0.995347,1.058140,1.088356,1.096361,1.043180,1.125245,0.974823,1.050187,,1.038928,1.088339,1.031345,,,1.057960,1.043796
2010-08-16,1.051573,1.005733,1.057464,1.062037,1.045554,1.005733,1.074751,1.054922,1.097821,1.053542,1.154599,0.975767,1.061535,,1.045554,1.081272,1.032714,,,1.057826,1.046229
2010-08-17,1.053248,1.004594,1.067641,1.064050,1.042723,1.004594,1.068106,1.064203,1.096004,1.055268,1.152642,0.983161,1.066571,,1.042723,1.087161,1.032439,,,1.058075,1.048662
2010-08-18,1.051236,0.996842,1.061740,1.063841,1.042020,0.996842,1.083056,1.057374,1.103424,1.037998,1.133072,0.977608,1.071723,,1.042020,1.074205,1.031418,,,1.059294,1.043796
2010-08-19,1.058338,0.992655,1.072004,1.076927,1.040828,0.992655,1.119601,1.068264,1.110603,1.075995,1.144814,1.004396,1.065534,,1.040828,1.075383,1.028986,,,1.059915,1.046229
2010-08-20,1.052506,0.993723,1.062635,1.071937,1.032632,0.993723,1.098007,1.057685,1.102933,1.091540,1.140900,1.005072,1.061353,,1.032632,1.069493,1.025513,,,1.055819,1.041363
2010-08-23,1.049630,1.004928,1.060440,1.066932,1.027411,1.004928,1.088040,1.053657,1.105347,1.074269,1.133072,0.995721,1.055168,,1.027411,1.065960,1.027726,,,1.052034,1.038929
2010-08-24,1.041261,0.991590,1.055480,1.056479,1.022928,0.991590,1.039867,1.051341,1.093442,1.089813,1.129159,0.987865,1.036493,,1.022928,1.060071,1.017914,,,1.042707,1.026764
2010-08-25,1.036917,0.987439,1.059821,1.047641,1.021730,0.987439,1.021595,1.053388,1.083928,1.089813,1.109589,0.979140,1.030320,,1.021730,1.061249,1.015058,,,1.040754,1.021898
2010-08-26,1.035630,0.986962,1.063461,1.048493,1.013297,0.986962,1.013289,1.057229,1.089221,1.089813,1.105675,0.978741,1.032859,,1.013297,1.042403,1.012350,,,1.041247,1.026764
2010-08-27,1.034985,0.998059,1.056678,1.046461,1.013889,0.998059,1.014950,1.048809,1.085507,1.060451,1.105675,0.976341,1.041059,,1.013889,1.058893,1.012211,,,1.048816,1.021898
2010-08-30,1.042109,1.005826,1.063041,1.054179,1.020078,1.005826,1.029900,1.054981,1.089703,1.088083,1.088063,0.990714,1.051797,,1.020078,1.051826,1.015693,,,1.051347,1.029197
2010-08-31,1.035460,1.005641,1.064042,1.046754,1.007845,1.005641,1.026578,1.053503,1.090496,1.119172,1.011742,0.983734,1.042344,,1.007845,1.027091,1.010917,,,1.042491,1.017032
2010-09-01,1.038912,1.004939,1.057638,1.051181,1.016770,1.004939,1.028239,1.047588,1.095737,1.162352,0.964775,0.989239,1.048886,,1.016770,1.042403,1.016968,,,1.050328,1.024331
2010-09-02,1.052219,1.008925,1.071869,1.064649,1.032987,1.008925,1.056478,1.060863,1.117871,1.148534,0.972603,1.003983,1.063314,,1.032987,1.010601,1.026178,,,1.055534,1.041363
2010-09-03,1.057183,1.006921,1.080781,1.067689,1.042058,1.006921,1.049834,1.071710,1.124370,1.132990,0.980431,1.007538,1.078587,,1.042058,0.956419,1.028758,,,1.057342,1.046229
2010-09-06,1.078632,1.015869,1.110831,1.089330,1.063294,1.015869,1.099668,1.105767,1.143131,1.139899,1.001957,1.019016,1.104432,,1.063294,0.975265,1.047374,,,1.077081,1.065693
2010-09-07,1.082045,1.020246,1.117181,1.092605,1.064861,1.020246,1.102990,1.110057,1.150363,1.153717,0.996086,1.023772,1.103719,,1.064861,0.969376,1.054059,,,1.083194,1.068127
2010-09-08,1.069648,1.015788,1.103309,1.078361,1.053453,1.015788,1.096346,1.099177,1.142812,1.113993,0.990215,1.012954,1.070657,,1.053453,0.941107,1.043245,,,1.070511,1.051095
2010-09-09,1.076182,1.013102,1.106775,1.088987,1.057954,1.013102,1.091362,1.106032,1.156980,1.098449,0.998043,1.022441,1.085833,,1.057954,0.946996,1.044983,,,1.072638,1.055961
2010-09-10,1.081456,1.017852,1.113552,1.093871,1.063286,1.017852,1.089701,1.108741,1.166462,1.127807,1.000000,1.029974,1.081601,,1.063286,0.949352,1.048868,,,1.075323,1.060827
2010-09-13,1.101962,1.024820,1.132118,1.117544,1.084648,1.024820,1.124585,1.132181,1.176425,1.151987,1.031311,1.056367,1.109176,,1.084648,0.987043,1.062838,,,1.096010,1.082725
2010-09-14,1.103370,1.015181,1.133913,1.120567,1.087526,1.015181,1.129568,1.133145,1.173297,1.158896,1.093933,1.057963,1.112685,,1.087526,0.974087,1.062747,,,1.090470,1.082725
2010-09-15,1.104239,1.020538,1.136963,1.120065,1.087744,1.020538,1.106312,1.136580,1.180311,1.124355,1.111546,1.057181,1.102353,,1.087744,0.983510,1.067373,,,1.095367,1.085158
2010-09-16,1.105228,1.028496,1.134508,1.122692,1.084712,1.028496,1.107973,1.136653,1.196380,1.113993,1.076321,1.048664,1.106863,,1.084712,0.978799,1.068791,,,1.094575,1.082725
2010-09-17,1.119654,1.039923,1.145861,1.140388,1.096113,1.039923,1.126246,1.156352,1.217063,1.139899,1.084149,1.060981,1.114529,,1.096113,0.981154,1.080572,,,1.110997,1.094891
2010-09-20,1.120912,1.030191,1.163185,1.142125,1.091900,1.030191,1.129568,1.172007,1.213669,1.143351,1.070450,1.062403,1.127500,,1.091900,0.991755,1.082980,,,1.114857,1.094891
2010-09-21,1.123687,1.022209,1.172167,1.146434,1.092942,1.022209,1.134551,1.180631,1.214344,1.143351,1.054795,1.066175,1.139261,,1.092942,1.018846,1.079946,,,1.120061,1.099757
2010-09-22,1.127905,1.024463,1.185334,1.147910,1.097937,1.024463,1.131229,1.194608,1.221852,1.146808,1.062622,1.066631,1.122737,,1.097937,1.018846,1.089113,,,1.132658,1.099757
2010-09-24,1.131414,1.031281,1.183231,1.150668,1.104496,1.031281,1.137874,1.192125,1.226074,1.139899,1.090020,1.069503,1.127691,,1.104496,0.994111,1.096511,,,1.133052,1.104623
2010-09-27,1.145943,1.026797,1.204908,1.170249,1.113877,1.026797,1.166113,1.209983,1.238810,1.188258,1.133072,1.088394,1.149995,,1.113877,1.012956,1.108878,,,1.141614,1.114355
2010-09-28,1.133733,1.024183,1.190737,1.157030,1.100493,1.024183,1.215947,1.193227,1.223969,1.179623,1.099804,1.075376,1.130880,,1.100493,1.000000,1.094957,,,1.128891,1.102190
2010-09-29,1.147890,1.028258,1.202616,1.173025,1.116843,1.028258,1.269103,1.207415,1.235299,1.193149,1.113503,1.103802,1.135738,,1.116843,0.988221,1.104683,,,1.139133,1.116788
2010-09-30,1.148647,1.023049,1.217813,1.173075,1.113419,1.023049,1.215947,1.223708,1.232936,1.219162,1.115460,1.106058,1.136549,,1.113419,0.991755,1.107160,,,1.143044,1.116788
2010-10-04,1.164703,1.019737,1.225663,1.199883,1.122909,1.019737,1.262458,1.238235,1.265121,1.179275,1.129159,1.148957,1.154860,,1.122909,0.977621,1.117167,,,1.157996,1.126521
2010-10-05,1.160604,1.022292,1.210418,1.191666,1.129359,1.022292,1.257475,1.227028,1.246177,1.160199,1.111546,1.154389,1.144009,,1.129359,0.985866,1.115579,,,1.155587,1.126521
2010-10-06,1.174955,1.022038,1.236263,1.208721,1.138755,1.022038,1.275748,1.258746,1.267484,1.144591,1.127202,1.162346,1.155597,,1.138755,1.011779,1.119141,,,1.165125,1.143552
2010-10-07,1.172004,1.017481,1.223760,1.205893,1.141603,1.017481,1.262458,1.254343,1.263829,1.139387,1.121331,1.159481,1.144323,,1.141603,1.010601,1.123470,,,1.169394,1.141119
2010-10-08,1.175960,1.025603,1.238836,1.205339,1.145544,1.025603,1.249169,1.260853,1.264189,1.130716,1.127202,1.151980,1.152468,,1.145544,1.055359,1.126173,,,1.178950,1.143552
2010-10-11,1.188245,1.021452,1.253697,1.220301,1.158811,1.021452,1.302326,1.274751,1.268170,1.137654,1.146771,1.187051,1.163459,,1.158811,1.047114,1.134987,,,1.186305,1.158151
2010-10-12,1.186068,1.016833,1.242016,1.219742,1.160113,1.016833,1.332226,1.267701,1.261795,1.130716,1.133072,1.186013,1.172180,,1.160113,1.031802,1.138609,,,1.188624,1.153285
2010-10-13,1.200318,1.029844,1.244602,1.230756,1.187179,1.029844,1.343854,1.267100,1.275398,1.156729,1.119374,1.203094,1.184836,,1.187179,1.034158,1.152851,,,1.204388,1.170316
2010-10-14,1.214768,1.027862,1.259410,1.240565,1.217381,1.027862,1.355482,1.278170,1.283194,1.163666,1.135029,1.226119,1.187089,,1.217381,1.042403,1.163865,,,1.215612,1.187348
2010-10-15,1.214712,1.027306,1.258706,1.241650,1.215812,1.027306,1.368771,1.276317,1.284764,1.109908,1.217221,1.217999,1.188300,,1.215812,1.044759,1.163285,,,1.213444,1.184915
2010-10-18,1.203983,1.016863,1.248703,1.231690,1.203201,1.016863,1.332226,1.264772,1.276041,1.115108,1.189824,1.203133,1.183224,,1.203201,1.062426,1.154146,,,1.202893,1.170316
2010-10-19,1.218740,1.030326,1.265732,1.245544,1.218787,1.030326,1.357143,1.275842,1.297832,1.122045,1.205479,1.216823,1.197250,,1.218787,1.057715,1.170486,,,1.217793,1.184915
2010-10-20,1.206807,1.027460,1.250410,1.228090,1.214905,1.027460,1.312292,1.259270,1.282516,1.116841,1.181996,1.195506,1.183817,,1.214905,1.053003,1.164399,,,1.210014,1.175182
2010-10-21,1.210053,1.025956,1.246436,1.230576,1.226003,1.025956,1.317276,1.253705,1.281083,1.142858,1.221135,1.194822,1.182588,,1.226003,1.056537,1.158975,,,1.210581,1.180049
2010-10-22,1.202232,1.017102,1.245775,1.223074,1.213921,1.017102,1.303987,1.254368,1.276671,1.149791,1.205479,1.184106,1.170211,,1.213921,1.041225,1.153547,,,1.203034,1.170316
2010-10-25,1.210134,1.022692,1.242740,1.236265,1.219268,1.022692,1.308970,1.256946,1.282260,1.193149,1.201566,1.212186,1.175382,,1.219268,1.040047,1.162869,,,1.210254,1.177616
2010-10-26,1.207308,1.013379,1.243643,1.232264,1.219574,1.013379,1.252492,1.255742,1.292875,1.142858,1.158513,1.225539,1.168883,,1.219574,1.024735,1.161645,,,1.214387,1.175182
2010-10-27,1.185386,1.001547,1.233909,1.207213,1.191739,1.001547,1.220930,1.241369,1.273956,1.128983,1.140900,1.187220,1.149376,,1.191739,1.001178,1.139295,,,1.185733,1.155718
2010-10-28,1.185255,1.003512,1.227570,1.205445,1.197278,1.003512,1.219269,1.238452,1.271077,1.120312,1.140900,1.188810,1.139777,,1.197278,1.003533,1.138141,,,1.188816,1.158151
2010-10-29,1.175824,0.998135,1.224818,1.197096,1.180058,0.998135,1.222591,1.228780,1.267469,1.135920,1.117417,1.175489,1.141322,,1.180058,0.977621,1.130192,,,1.176011,1.126521
2010-11-01,1.205080,1.018953,1.255529,1.226248,1.212367,1.018953,1.257475,1.260461,1.301310,1.144591,1.140900,1.214192,1.157462,,1.212367,0.991755,1.161725,,,1.207156,1.158151
2010-11-02,1.205716,1.014905,1.249780,1.228681,1.215552,1.014905,1.245847,1.256874,1.311298,1.134187,1.140900,1.211935,1.158303,,1.215552,0.991755,1.160313,,,1.208415,1.155718
2010-11-03,1.230611,1.025122,1.283731,1.254997,1.239260,1.025122,1.240864,1.289737,1.359722,1.134187,1.150685,1.239393,1.164249,,1.239260,1.009423,1.181649,,,1.229814,1.180049
2010-11-04,1.247578,1.022787,1.314971,1.270216,1.260378,1.022787,1.260797,1.326690,1.381653,1.149791,1.166341,1.246386,1.162162,,1.260378,1.011779,1.201967,,,1.247576,1.197080
2010-11-05,1.260742,1.016946,1.312645,1.289402,1.280289,1.016946,1.302326,1.340044,1.392875,1.149791,1.144814,1.274605,1.171996,,1.280289,1.030624,1.210442,,,1.264277,1.216545
2010-11-08,1.269341,1.016795,1.319371,1.299936,1.290612,1.016795,1.302326,1.349687,1.410323,1.186212,1.140900,1.285655,1.163448,,1.290612,1.037691,1.220511,,,1.273956,1.221411
2010-11-09,1.252891,1.014177,1.292268,1.279403,1.281350,1.014177,1.280731,1.313930,1.388096,1.146325,1.136986,1.267395,1.162522,,1.281350,1.022379,1.211326,,,1.260582,1.211679
2010-11-10,1.243336,1.015447,1.273366,1.270921,1.269981,1.015447,1.292359,1.297901,1.377083,1.135920,1.127202,1.260127,1.150557,,1.269981,1.011779,1.210194,,,1.258011,1.199513
2010-11-11,1.251820,1.018875,1.276779,1.281060,1.280772,1.018875,1.285714,1.299075,1.382302,1.141121,1.127202,1.295335,1.164964,,1.280772,0.997644,1.210609,,,1.261777,1.209246
2010-11-12,1.230478,1.019480,1.269288,1.255534,1.248308,1.019480,1.239203,1.292647,1.358487,1.148058,1.109589,1.256151,1.134804,,1.248308,0.983510,1.200573,,,1.244360,1.184915
2010-11-15,1.221897,1.016142,1.269115,1.246766,1.232657,1.016142,1.207641,1.287726,1.354859,1.158466,1.117417,1.225596,1.140892,,1.232657,0.985866,1.189831,,,1.231649,1.175182
2010-11-16,1.209291,1.009638,1.259184,1.233764,1.216428,1.009638,1.202658,1.277341,1.349726,1.135920,1.086106,1.208601,1.117927,,1.216428,0.991132,1.176695,,,1.216048,1.158151
2010-11-17,1.187314,1.006414,1.235229,1.206105,1.197465,1.006414,1.164452,1.253578,1.321198,1.115108,1.072407,1.170581,1.100481,,1.197465,0.964798,1.162456,,,1.195086,1.136253
2010-11-18,1.204845,1.006049,1.237388,1.227509,1.224960,1.006049,1.197674,1.259090,1.341737,1.142858,1.086106,1.191861,1.123125,,1.224960,0.971980,1.174237,,,1.206603,1.155718
2010-11-19,1.200083,0.996792,1.222101,1.225948,1.222627,0.996792,1.184385,1.245823,1.332548,1.158466,1.082192,1.200059,1.119671,,1.222627,0.977965,1.170817,,,1.204284,1.155718
2010-11-22,1.194296,0.999778,1.190758,1.226208,1.216488,0.999778,1.199336,1.214945,1.327472,1.158466,1.088063,1.209550,1.118537,,1.216488,0.981556,1.166330,,,1.201056,1.153285
2010-11-23,1.165306,0.987485,1.155615,1.198767,1.180578,0.987485,1.171096,1.187581,1.288586,1.144591,1.060665,1.179656,1.094162,,1.180578,0.967192,1.141809,,,1.174742,1.121655
2010-11-24,1.172553,0.987194,1.171749,1.203488,1.190628,0.987194,1.176080,1.198639,1.296988,1.149791,1.068493,1.187947,1.096790,,1.190628,0.963601,1.151728,,,1.180637,1.128954
2010-11-25,1.171768,0.979082,1.177600,1.203320,1.188182,0.979082,1.166113,1.199763,1.305265,1.132450,1.066536,1.194287,1.101325,,1.188182,0.932479,1.149230,,,1.179869,1.128954
2010-11-26,1.162583,0.972903,1.168300,1.194335,1.177343,0.972903,1.156146,1.190921,1.298855,1.130716,1.039139,1.178878,1.099725,,1.177343,0.921706,1.145339,,,1.172159,1.119221
2010-11-29,1.179233,0.984610,1.188132,1.212232,1.191925,0.984610,1.172757,1.207005,1.319191,1.161933,1.080235,1.195733,1.116224,,1.191925,0.920508,1.159486,,,1.187083,1.136253
2010-11-30,1.172349,0.988304,1.189799,1.199499,1.185783,0.988304,1.154485,1.212772,1.304685,1.139387,1.072407,1.179045,1.106487,,1.185783,0.898962,1.153649,,,1.175409,1.128954
2010-12-01,1.187182,0.996005,1.202066,1.218488,1.197597,0.996005,1.164452,1.233130,1.329580,1.163666,1.070450,1.192501,1.113064,,1.197597,0.916917,1.169642,,,1.196699,1.138686
2010-12-02,1.197857,1.005016,1.201880,1.230712,1.212544,1.005016,1.181063,1.234123,1.350476,1.167137,1.074364,1.198296,1.127016,,1.212544,0.913326,1.173305,,,1.203416,1.148418
2010-12-03,1.190180,0.996504,1.200068,1.222853,1.202152,0.996504,1.184385,1.228768,1.344604,1.158466,1.080235,1.186234,1.112244,,1.202152,0.921706,1.165368,,,1.196281,1.145985
2010-12-06,1.183885,0.991216,1.189931,1.222870,1.185969,0.991216,1.179402,1.218621,1.342374,1.148058,1.095890,1.193785,1.115143,,1.185969,0.907341,1.162239,,,1.182680,1.136253
2010-12-07,1.194075,0.985940,1.192916,1.240153,1.194671,0.985940,1.205980,1.232476,1.351719,1.161933,1.129159,1.206366,1.137447,,1.194671,0.896568,1.164978,,,1.195143,1.148418
2010-12-08,1.178261,0.978852,1.183013,1.221632,1.176253,0.978852,1.186047,1.220946,1.333182,1.149791,1.103718,1.184779,1.116593,,1.176253,0.900159,1.152878,,,1.180400,1.128954
2010-12-09,1.181195,0.984893,1.180664,1.225388,1.179304,0.984893,1.181063,1.216475,1.335214,1.153262,1.107632,1.188090,1.135421,,1.179304,0.897765,1.159663,,,1.182655,1.133820
2010-12-10,1.179335,0.983627,1.177199,1.224068,1.177156,0.983627,1.167774,1.207818,1.333087,1.168870,1.095890,1.182464,1.146326,,1.177156,0.916917,1.159638,,,1.178877,1.136253
2010-12-13,1.191644,1.002626,1.192039,1.236461,1.184429,1.002626,1.181063,1.224252,1.347443,1.167137,1.115460,1.200773,1.151262,,1.184429,0.912129,1.166904,,,1.189092,1.143552
2010-12-14,1.197513,1.001066,1.197278,1.245147,1.188985,1.001066,1.196013,1.230888,1.350732,1.154995,1.109589,1.219417,1.161250,,1.188985,0.930085,1.168947,,,1.195143,1.148418
2010-12-15,1.172593,0.988391,1.169765,1.217384,1.165274,0.988391,1.172757,1.199214,1.315974,1.141121,1.082192,1.185581,1.148041,,1.165274,0.930085,1.153326,,,1.175468,1.121655
2010-12-16,1.153678,0.975889,1.155636,1.194829,1.147328,0.975889,1.151163,1.181815,1.290715,1.092562,1.050881,1.173456,1.135788,,1.147328,0.906144,1.141494,,,1.162382,1.109489
2010-12-17,1.154936,0.973657,1.157186,1.194802,1.152381,0.973657,1.166113,1.182461,1.286083,1.073487,1.070450,1.172859,1.135643,,1.152381,0.921706,1.145279,,,1.164621,1.111922
2010-12-20,1.152240,0.978458,1.152603,1.194589,1.142746,0.978458,1.152824,1.176500,1.290504,1.052675,1.058708,1.178974,1.140479,,1.142746,0.914523,1.142368,,,1.166093,1.109489
2010-12-21,1.171874,0.990490,1.172115,1.216478,1.161677,0.990490,1.166113,1.198867,1.316621,1.078691,1.074364,1.208850,1.148064,,1.161677,0.916917,1.156985,,,1.181260,1.128954
2010-12-22,1.178221,0.987576,1.186988,1.225129,1.163040,0.987576,1.174419,1.208040,1.332578,1.116841,1.080235,1.221206,1.146946,,1.163040,0.904947,1.164341,,,1.185120,1.128954
2010-12-23,1.169187,0.982241,1.174636,1.217831,1.151199,0.982241,1.171096,1.195917,1.327313,1.094299,1.068493,1.217963,1.133744,,1.151199,0.906144,1.156187,,,1.181041,1.121655
2010-12-24,1.165151,0.984050,1.169627,1.212871,1.146708,0.984050,1.171096,1.191536,1.316924,1.099500,1.060665,1.216596,1.128893,,1.146708,0.903750,1.152078,,,1.178434,1.119221
2010-12-28,1.151302,0.980412,1.146402,1.195980,1.139254,0.980412,1.154485,1.168848,1.301048,1.061349,1.046967,1.195337,1.123434,,1.139254,0.885795,1.145057,,,1.165200,1.109489
2010-12-29,1.170155,0.991675,1.165517,1.217200,1.156972,0.991675,1.177741,1.191281,1.332168,1.085629,1.058708,1.219216,1.128450,,1.156972,0.875022,1.163784,,,1.184068,1.126521
2010-12-30,1.173603,0.989281,1.166055,1.223268,1.160105,0.989281,1.181063,1.198642,1.340146,1.087362,1.064579,1.217588,1.125169,,1.160105,0.889386,1.163799,,,1.190426,1.126521
2010-12-31,1.175060,0.983204,1.166196,1.226377,1.162886,0.983204,1.177741,1.199307,1.340866,1.104704,1.062622,1.231548,1.120761,,1.162886,0.885795,1.157061,,,1.189980,1.128954
2011-01-03,1.197525,0.991600,1.194644,1.253383,1.179944,0.991600,1.210963,1.226480,1.374796,1.109908,1.115460,1.257672,1.138706,,1.179944,0.897765,1.176457,,,1.213288,1.148418
2011-01-04,1.213660,0.992786,1.216273,1.273837,1.191977,0.992786,1.252492,1.247548,1.401934,1.135920,1.152642,1.266766,1.147921,,1.191977,0.912129,1.181221,,,1.223974,1.158151
2011-01-05,1.215335,0.993939,1.230671,1.271025,1.194373,0.993939,1.244186,1.258798,1.399888,1.139387,1.135029,1.260880,1.147608,,1.194373,0.925296,1.185023,,,1.227631,1.163017
2011-01-06,1.213664,0.986915,1.248008,1.265840,1.190507,0.986915,1.237542,1.272209,1.390978,1.123779,1.136986,1.264335,1.146188,,1.190507,0.913326,1.185753,,,1.230176,1.165450
2011-01-07,1.213453,0.986915,1.248008,1.265840,1.189701,0.986915,1.237542,1.272209,1.390978,1.123779,1.136986,1.264335,1.146188,,1.189701,0.913326,1.184950,,,1.230176,1.165450
2011-01-10,1.200291,0.969799,1.228697,1.254738,1.178497,0.969799,1.210963,1.254798,1.383122,1.111641,1.135029,1.250456,1.135535,,1.178497,0.896568,1.179429,,,1.215017,1.150852
2011-01-11,1.211499,0.975027,1.246116,1.266971,1.187019,0.975027,1.210963,1.270225,1.405706,1.113375,1.146771,1.270409,1.139408,,1.187019,0.882204,1.190979,,,1.224662,1.165450
2011-01-12,1.225872,0.977963,1.248648,1.287141,1.203160,0.977963,1.234219,1.275750,1.433469,1.106437,1.136986,1.290068,1.167587,,1.203160,0.886992,1.199534,,,1.232909,1.182482
