ticker,start,cik,valid_from,valid_to,note
MSI,1996-01-02,68505,2005-01-01,,Motorola（2011 前代號 MOT；MSI 早期被 Movie Star Inc 使用）
LB,1996-01-02,701985,2005-01-01,,L Brands（2013 前代號 LTD；LB 早期被 LaBarge 使用）
CBRE,2006-11-10,1138118,2006-11-10,,CBRE（2018 前代號 CBG；CBRE 早期被 Calibre Energy 使用）
ES,2009-03-17,72741,2009-03-17,,Eversource（2015 前代號 NU；ES 早期被 EnergySolutions 使用）
WELL,2009-01-30,766704,2009-01-30,,Welltower（2018 前代號 HCN）
WM,1998-07-17,823768,2005-01-01,,Waste Management（早期代號 WMI；WM 被 Washington Mutual 使用）
GHC,2007-12-31,104889,2007-12-31,,Graham Holdings（2013 前代號 WPO）
SAF,1996-01-02,86104,2005-01-01,,Safeco（SAF 同時被 Scudder New Asia Fund 使用）
BBT,1997-12-04,92230,2005-01-01,,BB&T（SHELTON GREATER CHINA FUND 誤配）
WYND,2006-08-01,1361658,2006-08-01,,Wyndham Worldwide（2018 前代號 WYN；Technitrol 誤配）
ABI,1996-01-02,77551,2005-01-01,,Applied Biosystems（American Biltrite 誤配）
BHGE,1996-01-02,808362,2005-01-01,2017-07-01,Baker Hughes Inc（代號 BHI；Michael Baker Corp 誤配）
BHGE,1996-01-02,1701605,2017-07-01,,Baker Hughes Co（2017 與 GE 石油天然氣合併後新 CIK）
HCP,2008-03-31,765880,2008-03-31,,HCP/Healthpeak（2019-11 改代號 PEAK；最後一個月被 Physicians Realty 補位）
PTC,1997-04-03,857005,2005-01-01,,Parametric Technology（當時代號 PMTC；PTC 被 PAR Technology 使用）
