ticker,start,end,reason
EP,1999-10-26,2012-05-25,S&P 的 EP 是 El Paso Corp（2012 被 Kinder Morgan 收購）；Yahoo EP 現為 Empire Petroleum（仙股，成交額中位數 $449/日）
CPWR,1999-01-04,2012-01-03,Compuware（2014 私有化）；Yahoo CPWR 現為別家（成交額 0）
SII,2006-10-02,2010-08-27,Smith International（2010 併入 Schlumberger）；Yahoo SII 現為 Sprott
CCU,1997-09-02,2008-07-31,Clear Channel（2008 私有化）；Yahoo CCU 現為智利 Compañía Cervecerías Unidas ADR
CNC,1997-01-15,2002-07-25,Conseco（2002 破產）；Yahoo CNC 現為 Centene
WEN,1996-01-02,2008-09-30,Wendy's International（2008 被 Triarc 併購）；Yahoo WEN 2008 前的歷史是 Triarc
GENZ,2001-12-14,2011-04-04,Genzyme（2011 被 Sanofi 收購）；Yahoo GENZ 現為別家（成交額 $22 萬/日）
GENZ,2008-06-30,2011-06-30,同上（Nasdaq-100 區間）
KG,2000-10-03,2010-12-20,King Pharmaceuticals（2011 被 Pfizer 收購）；Yahoo KG 現為別家
GOLD,2012-06-30,2014-06-30,Nasdaq-100 的 GOLD 是 Randgold Resources ADR；Yahoo GOLD 2019 起為 Barrick
PARA,2022-02-17,2025-08-08,Paramount Global 2025 併入 Paramount Skydance；Yahoo PARA 數據在合併後失真（成交額中位數 $12.7 萬/日）
