date,name_zh,name,kind
2010-01-11,成人之日,Coming of Age Day (2000 onwards),holiday
2010-02-11,建國紀念之日,National Foundation Day,holiday
2010-03-22,春分之日,,holiday
2010-04-29,昭和之日,Showa Day,holiday
2010-05-03,憲法紀念日,Constitution Memorial Day,holiday
2010-05-04,綠之日,Greenery Day,holiday
2010-05-05,兒童節（こどもの日）,Children's Day,holiday
2010-07-19,海之日,Marine Day (2003 - 2019),holiday
2010-09-20,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2010-09-23,秋分之日,,holiday
2010-10-11,體育之日,Health and Sports Day (2000 - 2019),holiday
2010-11-03,文化之日,Culture Day,holiday
2010-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2010-12-23,補假,Emperor Akihito's Birthday,holiday
2010-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2011-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2011-01-10,成人之日,Coming of Age Day (2000 onwards),holiday
2011-02-11,建國紀念之日,National Foundation Day,holiday
2011-03-21,春分之日,,holiday
2011-04-29,昭和之日,Showa Day,holiday
2011-05-03,憲法紀念日,Constitution Memorial Day,holiday
2011-05-04,綠之日,Greenery Day,holiday
2011-05-05,兒童節（こどもの日）,Children's Day,holiday
2011-07-18,海之日,Marine Day (2003 - 2019),holiday
2011-09-19,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2011-09-23,秋分之日,,holiday
2011-10-10,體育之日,Health and Sports Day (2000 - 2019),holiday
2011-11-03,文化之日,Culture Day,holiday
2011-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2011-12-23,補假,Emperor Akihito's Birthday,holiday
2012-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2012-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2012-01-09,成人之日,Coming of Age Day (2000 onwards),holiday
2012-03-20,春分之日,,holiday
2012-04-30,昭和之日,Showa Day,holiday
2012-05-03,憲法紀念日,Constitution Memorial Day,holiday
2012-05-04,綠之日,Greenery Day,holiday
2012-07-16,海之日,Marine Day (2003 - 2019),holiday
2012-09-17,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2012-10-08,體育之日,Health and Sports Day (2000 - 2019),holiday
2012-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2012-12-24,補假,Emperor Akihito's Birthday,holiday
2012-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2013-01-01,元旦,New Year's Day,holiday
2013-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2013-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2013-01-14,成人之日,Coming of Age Day (2000 onwards),holiday
2013-02-11,建國紀念之日,National Foundation Day,holiday
2013-03-20,春分之日,,holiday
2013-04-29,昭和之日,Showa Day,holiday
2013-05-03,憲法紀念日,Constitution Memorial Day,holiday
2013-05-06,兒童節（こどもの日）,Children's Day,holiday
2013-07-15,海之日,Marine Day (2003 - 2019),holiday
2013-09-16,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2013-09-23,秋分之日,,holiday
2013-10-14,體育之日,Health and Sports Day (2000 - 2019),holiday
2013-11-04,文化之日,Culture Day,holiday
2013-12-23,補假,Emperor Akihito's Birthday,holiday
2013-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2014-01-01,元旦,New Year's Day,holiday
2014-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2014-01-03,新年假期,New Year's Holiday (Jan 3),holiday
2014-01-13,成人之日,Coming of Age Day (2000 onwards),holiday
2014-02-11,建國紀念之日,National Foundation Day,holiday
2014-03-21,春分之日,,holiday
2014-04-29,昭和之日,Showa Day,holiday
2014-05-05,兒童節（こどもの日）,Children's Day,holiday
2014-05-06,綠之日,Greenery Day,holiday
2014-07-21,海之日,Marine Day (2003 - 2019),holiday
2014-09-15,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2014-09-23,秋分之日,,holiday
2014-10-13,體育之日,Health and Sports Day (2000 - 2019),holiday
2014-11-03,文化之日,Culture Day,holiday
2014-11-24,勤勞感謝之日,Labor Thanksgiving Day,holiday
2014-12-23,補假,Emperor Akihito's Birthday,holiday
2014-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2015-01-01,元旦,New Year's Day,holiday
2015-01-02,新年假期,New Year's Holiday (Jan 2),holiday
2015-01-12,成人之日,Coming of Age Day (2000 onwards),holiday
2015-02-11,建國紀念之日,National Foundation Day,holiday
2015-04-29,昭和之日,Showa Day,holiday
2015-05-04,綠之日,Greenery Day,holiday
2015-05-05,兒童節（こどもの日）,Children's Day,holiday
2015-05-06,憲法紀念日,Constitution Memorial Day,holiday
2015-07-20,海之日,Marine Day (2003 - 2019),holiday
2015-09-21,敬老之日,Respect for the Aged Day (2003 onwards),holiday
2015-09-22,國民休日,,holiday
2015-09-23,秋分之日,,holiday
2015-10-12,體育之日,Health and Sports Day (2000 - 2019),holiday
2015-11-03,文化之日,Culture Day,holiday
2015-11-23,勤勞感謝之日,Labor Thanksgiving Day,holiday
2015-12-23,補假,Emperor Akihito's Birthday,holiday
2015-12-31,新年假期,New Year's Holiday (Dec 31),holiday
2016-01-01,元旦,New Year's Day,holiday
