ticker,issuer,trade_date,filing_date,entry_day,exit_day,ret_3m,ew_3m,excess_3m,value,n_insiders,accession
D,DOMINION RESOURCES INC /VA/,2006-01-30,2006-02-01,2006-02-02,2006-05-02,-0.0159,0.0295,-0.0454,1662620,3,0001225208-06-000637
GE,GENERAL ELECTRIC CO,2006-01-23,2006-02-03,2006-02-06,2006-05-08,0.0765,0.0604,0.0161,2292675,3,0001231205-06-000022
AXP,AMERICAN EXPRESS CO,2006-02-01,2006-02-17,2006-02-21,2006-05-22,-0.0459,-0.0074,-0.0385,853125,3,0001127602-06-000350
SHW,SHERWIN WILLIAMS CO,2006-02-23,2006-02-24,2006-02-27,2006-05-30,0.1826,-0.0034,0.1859,585298,3,0000089800-06-000038
MTG,MGIC INVESTMENT CORP,2006-03-01,2006-03-02,2006-03-03,2006-06-05,0.0569,0.0071,0.0498,159949,3,0000876437-06-000050
GAP,GREAT ATLANTIC & PACIFIC TEA CO INC,2006-05-15,2006-05-17,2006-05-18,2006-08-18,-0.0640,0.0213,-0.0853,164385,3,0001140361-06-007620
D,DOMINION RESOURCES INC /VA/,2006-05-24,2006-05-25,2006-05-26,2006-08-28,0.1229,0.0126,0.1103,385789,3,0001225208-06-002962
GL,TORCHMARK CORP,2006-06-01,2006-06-05,2006-06-06,2006-09-06,0.0520,0.0365,0.0154,225000,3,0001212131-06-000089
PNW,PINNACLE WEST CAPITAL CORP,2006-05-16,2006-06-07,2006-06-08,2006-09-08,0.1402,0.0279,0.1123,99087,3,0001209191-06-035389
YUM,YUM BRANDS INC,2006-08-02,2006-08-04,2006-08-07,2006-11-07,0.2668,0.0886,0.1781,603110,3,0001041061-06-000186
WHR,WHIRLPOOL CORP /DE/,2006-07-26,2006-08-17,2006-08-18,2006-11-20,0.0964,0.0933,0.0031,330155,3,0001219007-06-000004
MDT,MEDTRONIC INC,2006-08-24,2006-08-28,2006-08-29,2006-11-29,0.1356,0.0824,0.0532,1341570,3,0000064670-06-000046
A,AGILENT TECHNOLOGIES INC,2006-11-01,2006-11-03,2006-11-06,2007-02-06,-0.0246,0.0842,-0.1088,79712,3,0001090872-06-000049
AMD,ADVANCED MICRO DEVICES INC,2006-11-01,2006-11-21,2006-11-22,2007-02-22,-0.3197,0.0645,-0.3842,2429898,3,0001268069-06-000004
GE,GENERAL ELECTRIC CO,2007-01-26,2007-01-31,2007-02-01,2007-05-01,0.0257,0.0398,-0.0141,2352588,3,0001231205-07-000023
AMP,AMERIPRISE FINANCIAL INC,2007-01-30,2007-02-20,2007-02-21,2007-05-21,-0.0143,0.0355,-0.0498,118660,3,0001179110-07-004094
AXP,AMERICAN EXPRESS CO,2007-01-24,2007-02-21,2007-02-22,2007-05-22,0.1026,0.0389,0.0637,1181458,3,0001127602-07-000739
MTG,MGIC INVESTMENT CORP,2007-03-01,2007-03-01,2007-03-02,2007-06-04,0.1094,0.0903,0.0191,204949,3,0000876437-07-000038
XEL,XCEL ENERGY INC,2007-02-20,2007-03-01,2007-03-02,2007-06-04,-0.0286,0.0903,-0.1189,366983,3,0001162782-07-000042
FCX,FREEPORT MCMORAN COPPER & GOLD INC,2007-03-05,2007-03-26,2007-03-27,2007-06-27,0.2021,0.0330,0.1692,842204,3,0001246360-07-001246
HBAN,HUNTINGTON BANCSHARES INC/MD,2007-07-24,2007-07-31,2007-08-01,2007-11-01,-0.0557,0.0465,-0.1022,217221,3,0001225208-07-007016
XRX,XEROX CORP,2007-08-03,2007-08-03,2007-08-06,2007-11-06,0.0071,0.0318,-0.0248,429470,3,0001181431-07-049634
AXP,AMERICAN EXPRESS CO,2007-08-08,2007-08-09,2007-08-10,2007-11-12,-0.0597,-0.0079,-0.0518,3923891,3,0001127602-07-003280
TEL,Tyco Electronics Ltd.,2007-08-13,2007-08-14,2007-08-15,2007-11-15,-0.0028,0.0225,-0.0253,2488454,3,0001225208-07-007559
PSA,Public Storage,2007-07-26,2007-08-16,2007-08-17,2007-11-19,-0.0332,0.0238,-0.0571,415883,3,0001201889-07-000012
ZION,ZIONS BANCORPORATION /UT/,2007-07-31,2007-08-16,2007-08-17,2007-11-19,-0.3090,0.0238,-0.3328,281000,3,0000109380-07-000120
RL,POLO RALPH LAUREN CORP,2007-08-10,2007-08-16,2007-08-17,2007-11-19,-0.1504,0.0238,-0.1742,366235,3,0000950142-07-001991
NWL,NEWELL RUBBERMAID INC,2007-07-31,2007-08-24,2007-08-27,2007-11-27,0.0263,-0.0617,0.0881,650446,3,0000814453-07-000143
THC,TENET HEALTHCARE CORP,2007-08-21,2007-08-30,2007-08-31,2007-11-30,0.5220,-0.0017,0.5237,638358,3,0000070318-07-000130
FHN,FIRST HORIZON NATIONAL CORP,2007-10-19,2007-10-23,2007-10-24,2008-01-24,-0.2170,-0.1145,-0.1026,2694887,3,0000036966-07-000083
MTG,MGIC INVESTMENT CORP,2007-10-26,2007-10-26,2007-10-29,2008-01-29,-0.1414,-0.1047,-0.0367,1231900,3,0000876437-07-000085
GNW,GENWORTH FINANCIAL INC,2007-11-02,2007-11-06,2007-11-07,2008-02-07,-0.1032,-0.1000,-0.0032,174412,3,0001181431-07-066603
MBI,MBIA INC,2007-11-01,2007-11-08,2007-11-09,2008-02-11,-0.4977,-0.0739,-0.4238,212004,3,0000814585-07-000098
AXP,AMERICAN EXPRESS CO,2007-11-09,2007-11-13,2007-11-14,2008-02-14,-0.2071,-0.0590,-0.1481,671165,3,0001127602-07-004478
WHR,WHIRLPOOL CORP /DE/,2007-10-24,2007-11-13,2007-11-14,2008-02-14,0.1488,-0.0590,0.2077,1112985,3,0001348568-07-000006
COR,CORTEX PHARMACEUTICALS INC/DE/,2007-11-07,2007-11-14,2007-11-15,2008-02-15,-0.0079,-0.0644,0.0565,80031,3,0001181431-07-069128
AVY,AVERY DENNISON CORPORATION,2007-11-19,2007-11-20,2007-11-21,2008-02-21,0.0048,-0.0247,0.0294,497786,3,0000008818-07-000048
GT,GOODYEAR TIRE & RUBBER CO /OH/,2007-11-27,2007-12-21,2007-12-24,2008-03-24,-0.0755,-0.0716,-0.0039,127219,3,0001209191-07-071481
DRI,DARDEN RESTAURANTS INC,2007-12-21,2008-01-04,2008-01-07,2008-04-07,0.3588,0.0245,0.3343,578996,3,0000940944-08-000006
UIS,UNISYS CORP,2008-01-31,2008-02-04,2008-02-05,2008-05-05,-0.0282,0.0436,-0.0718,334411,3,0000746838-08-000024
MBI,MBIA INC,2008-01-30,2008-02-14,2008-02-15,2008-05-15,-0.2234,0.0703,-0.2937,600066520,3,0000898822-08-000219
ZION,ZIONS BANCORPORATION /UT/,2008-02-01,2008-02-20,2008-02-21,2008-05-21,-0.1517,0.0574,-0.2091,393648,3,0000109380-08-000015
MDT,MEDTRONIC INC,2008-02-20,2008-02-25,2008-02-26,2008-05-27,0.0172,0.0164,0.0008,12440467,3,0000064670-08-000013
AXP,AMERICAN EXPRESS CO,2008-02-07,2008-02-26,2008-02-27,2008-05-27,0.0094,0.0074,0.0020,748455,3,0001127602-08-001354
MTG,MGIC INVESTMENT CORP,2008-03-24,2008-03-31,2008-04-01,2008-07-01,-0.4558,-0.0335,-0.4223,583200,3,0000876437-08-000056
PM,Philip Morris International Inc.,2008-03-28,2008-04-01,2008-04-02,2008-07-02,-0.0046,-0.0678,0.0631,13301589,3,0001182489-08-000342
CAG,CONAGRA FOODS INC /DE/,2008-03-31,2008-04-04,2008-04-07,2008-07-07,-0.2040,-0.0923,-0.1117,560250,3,0000900440-08-000029
GE,GENERAL ELECTRIC CO,2008-04-14,2008-04-16,2008-04-17,2008-07-17,-0.1152,-0.0957,-0.0195,1515460,3,0001231205-08-000049
SLM,SLM CORP,2008-04-21,2008-05-02,2008-05-05,2008-08-05,-0.2025,-0.1141,-0.0884,1281578,3,0001032033-08-000034
RF,REGIONS FINANCIAL CORP,2008-04-29,2008-05-22,2008-05-23,2008-08-25,-0.5604,-0.0676,-0.4928,309588,3,0001281761-08-000120
NI,NISOURCE INC/DE,2008-05-06,2008-05-27,2008-05-28,2008-08-28,-0.0521,-0.0686,0.0165,426208,3,0001111711-08-000145
HD,HOME DEPOT INC,2008-05-21,2008-06-05,2008-06-06,2008-09-08,0.0947,-0.0967,0.1914,156561306,3,0001209191-08-035482
FHN,FIRST HORIZON NATIONAL CORP,2008-06-05,2008-06-06,2008-06-09,2008-09-09,0.3119,-0.0466,0.3585,396519,3,0000036966-08-000061
KEY,KEYCORP /NEW/,2008-06-19,2008-06-19,2008-06-20,2008-09-22,0.4154,-0.0362,0.4516,389300,3,0001232432-08-000050
HBAN,HUNTINGTON BANCSHARES INC/MD,2008-06-24,2008-06-25,2008-06-26,2008-09-26,0.4516,-0.0616,0.5132,186760,3,0001225208-08-010721
FDX,FEDEX CORP,2008-06-19,2008-06-30,2008-07-01,2008-10-01,0.0058,-0.0584,0.0642,773985,3,0001048911-08-000063
CAG,CONAGRA FOODS INC /DE/,2008-07-03,2008-07-07,2008-07-08,2008-10-08,-0.0104,-0.1882,0.1778,347637,3,0000023217-08-000023
ZION,ZIONS BANCORPORATION /UT/,2008-07-02,2008-07-07,2008-07-08,2008-10-08,0.2909,-0.1882,0.4790,3133000,3,0000109380-08-000103
USB,US BANCORP \DE\,2008-07-16,2008-07-17,2008-07-18,2008-10-20,0.1487,-0.2512,0.3999,2107550,3,0000036104-08-000103
MTB,M&T BANK CORP,2008-07-16,2008-07-18,2008-07-21,2008-10-21,0.1155,-0.2185,0.3340,382221,3,0001209191-08-043011
FCX,FREEPORT MCMORAN COPPER & GOLD INC,2008-08-05,2008-08-06,2008-08-07,2008-11-07,-0.6885,-0.3116,-0.3769,2483991,3,0001246360-08-002371
TEL,Tyco Electronics Ltd.,2008-08-05,2008-08-06,2008-08-07,2008-11-07,-0.4973,-0.3116,-0.1857,758120,3,0001225208-08-013223
TXT,TEXTRON INC,2008-07-24,2008-08-06,2008-08-07,2008-11-07,-0.6108,-0.3116,-0.2992,643320,3,0000217346-08-000119
AIG,AMERICAN INTERNATIONAL GROUP INC,2008-08-08,2008-08-12,2008-08-13,2008-11-13,-0.9064,-0.3747,-0.5317,1211776,3,0001225208-08-013464
CINF,CINCINNATI FINANCIAL CORP,2008-08-11,2008-08-15,2008-08-18,2008-11-18,-0.1137,-0.3897,0.2759,1529930,3,0000020286-08-000102
MTG,MGIC INVESTMENT CORP,2008-08-15,2008-08-19,2008-08-20,2008-11-20,-0.7297,-0.4169,-0.3128,393859,3,0000876437-08-000083
BAC,BANK OF AMERICA CORP /DE/,2008-07-24,2008-08-19,2008-08-20,2008-11-20,-0.5383,-0.4169,-0.1214,210358,3,0001225208-08-013842
GNW,GENWORTH FINANCIAL INC,2008-08-05,2008-08-25,2008-08-26,2008-11-26,-0.9134,-0.3571,-0.5563,361770,3,0001181431-08-049924
SLM,SLM CORP,2008-08-13,2008-08-27,2008-08-28,2008-11-28,-0.4179,-0.3355,-0.0824,649000,3,0001032033-08-000057
RF,REGIONS FINANCIAL CORP,2008-07-30,2008-08-28,2008-08-29,2008-12-01,0.1425,-0.3417,0.4842,712708,6,0001225208-08-014141
WMB,WILLIAMS COMPANIES INC,2008-08-25,2008-09-11,2008-09-12,2008-12-12,-0.4729,-0.3227,-0.1502,582920,3,0001209191-08-051423
PSA,Public Storage,2008-09-16,2008-09-24,2008-09-25,2008-12-26,-0.1737,-0.2804,0.1067,168629,3,0001393311-08-000189
AES,AES CORP,2008-09-16,2008-10-07,2008-10-08,2009-01-08,-0.0594,-0.0597,0.0003,764900,3,0001179110-08-017917
MET,METLIFE INC,2008-10-09,2008-10-14,2008-10-15,2009-01-15,-0.2399,-0.1499,-0.0900,137920,3,0001209191-08-056279
BBY,BEST BUY CO INC,2008-09-18,2008-10-15,2008-10-16,2009-01-16,0.1211,-0.0563,0.1774,235188,3,0001225208-08-016222
PH,PARKER HANNIFIN CORP,2008-10-17,2008-10-28,2008-10-29,2009-01-29,0.1129,-0.0073,0.1202,352727,3,0000076334-08-000103
TEX,TEREX CORP,2008-10-24,2008-10-29,2008-10-30,2009-01-30,-0.1819,-0.0487,-0.1333,781330,3,0000097216-08-000271
TNL,TECHNITROL INC,2008-10-27,2008-10-29,2008-10-30,2009-01-30,-0.1386,-0.0487,-0.0899,98380,3,0001307633-08-000020
FAST,FASTENAL CO,2008-10-21,2008-10-30,2008-10-31,2009-02-02,-0.1530,-0.1024,-0.0505,247264,3,0001179110-08-018675
LEN,LENNAR CORP /NEW/,2008-10-10,2008-10-31,2008-11-03,2009-02-03,0.0571,-0.1274,0.1845,335363,3,0001182489-08-000851
CF,"CF Industries Holdings, Inc.",2008-10-30,2008-11-03,2008-11-04,2009-02-04,-0.2467,-0.1151,-0.1317,1136612,3,0001104659-08-067535
THC,TENET HEALTHCARE CORP,2008-11-05,2008-11-05,2008-11-06,2009-02-06,-0.5397,-0.0897,-0.4500,368222,3,0000070318-08-000114
GLW,CORNING INC /NY,2008-11-05,2008-11-10,2008-11-11,2009-02-11,0.1599,-0.0591,0.2190,3143200,3,0001127602-08-009069
PCAR,PACCAR INC,2008-10-24,2008-11-10,2008-11-11,2009-02-11,0.2159,-0.0591,0.2750,3545200,3,0000075362-08-000128
J,JACOBS ENGINEERING GROUP INC /DE/,2008-11-07,2008-11-10,2008-11-11,2009-02-11,0.1433,-0.0591,0.2024,157895,3,0000052988-08-000208
