ticker,issuer,trade_date,filing_date,entry_day,exit_day,ret_3m,ew_3m,excess_3m,value,n_insiders,accession
GE,GENERAL ELECTRIC CO,2006-01-23,2006-01-23,2006-01-24,2006-04-24,0.0153,0.0535,-0.0382,503100,1,0001231205-06-000014
C,CITIGROUP INC,2006-01-26,2006-01-30,2006-01-31,2006-05-01,0.0903,0.0293,0.0610,11728,1,0001181431-06-006449
D,DOMINION RESOURCES INC /VA/,2006-01-31,2006-02-01,2006-02-02,2006-05-02,-0.0159,0.0295,-0.0454,150720,1,0001225208-06-000638
EMN,EASTMAN CHEMICAL CO,2006-01-31,2006-02-01,2006-02-02,2006-05-02,0.1601,0.0295,0.1306,96360,1,0001209191-06-006593
WMB,WILLIAMS COMPANIES INC,2004-05-11,2006-02-08,2006-02-09,2006-05-09,0.0324,0.0591,-0.0267,103400,1,0001209191-06-008779
FISV,FISERV INC,2006-02-09,2006-02-13,2006-02-14,2006-05-15,0.0804,0.0357,0.0447,82000,1,0001181431-06-010571
SHW,SHERWIN WILLIAMS CO,2006-02-23,2006-02-23,2006-02-24,2006-05-24,0.1250,-0.0204,0.1455,84000,1,0000089800-06-000015
GE,GENERAL ELECTRIC CO,2006-03-13,2006-03-13,2006-03-14,2006-06-14,0.0060,-0.0420,0.0479,502960,1,0001231205-06-000064
CAG,CONAGRA FOODS INC /DE/,2006-03-24,2006-03-28,2006-03-29,2006-06-29,0.0530,-0.0348,0.0878,1554000,1,0000023217-06-000007
BALL,BALL CORP,2006-05-02,2006-05-03,2006-05-04,2006-08-04,0.0201,-0.0276,0.0477,232196,1,0000009389-06-000187
GE,GENERAL ELECTRIC CO,2006-05-12,2006-05-12,2006-05-15,2006-08-15,-0.0194,-0.0275,0.0081,515700,1,0001231205-06-000084
GAP,GREAT ATLANTIC & PACIFIC TEA CO INC,2006-05-16,2006-05-17,2006-05-18,2006-08-18,-0.0640,0.0213,-0.0853,101400,1,0001206247-06-000001
D,DOMINION RESOURCES INC /VA/,2006-05-24,2006-05-24,2006-05-25,2006-08-25,0.1224,0.0245,0.0979,144780,1,0001225208-06-002949
