ticker,issuer,trade_date,filing_date,entry_day,exit_day,ret_3m,ew_3m,excess_3m,value,n_insiders,accession
GE,GENERAL ELECTRIC CO,2006-01-23,2006-01-23,2006-01-24,2006-04-24,0.0153,0.0535,-0.0382,503100,1,0001231205-06-000014
JPM,J P MORGAN CHASE & CO,2006-01-24,2006-01-25,2006-01-26,2006-04-26,0.1040,0.0407,0.0633,764800,1,0000019617-06-000076
D,DOMINION RESOURCES INC /VA/,2006-01-30,2006-02-01,2006-02-02,2006-05-02,-0.0159,0.0295,-0.0454,753700,1,0001225208-06-000635
RTX,UNITED TECHNOLOGIES CORP /DE/,2006-02-13,2006-02-14,2006-02-15,2006-05-15,0.1214,0.0253,0.0961,549978,1,0000101829-06-000039
EBAY,EBAY INC,2006-02-15,2006-02-16,2006-02-17,2006-05-17,-0.2775,0.0090,-0.2865,1015250,1,0001230846-06-000004
GEN,SYMANTEC CORP,2006-02-16,2006-02-21,2006-02-22,2006-05-22,-0.0738,-0.0054,-0.0684,959089,1,0001209191-06-012088
APA,APACHE CORP,2006-02-24,2006-02-24,2006-02-27,2006-05-30,-0.0474,-0.0034,-0.0441,694200,1,0001240568-06-000003
GE,GENERAL ELECTRIC CO,2006-03-03,2006-03-06,2006-03-07,2006-06-07,0.0457,-0.0046,0.0503,659548,1,0001231205-06-000062
T,AT&T INC.,2006-03-07,2006-03-09,2006-03-10,2006-06-12,0.0052,-0.0071,0.0123,980914,1,0001225208-06-001631
CAG,CONAGRA FOODS INC /DE/,2006-03-24,2006-03-27,2006-03-28,2006-06-28,0.0142,-0.0439,0.0581,707200,1,0000023217-06-000006
LOW,LOWES COMPANIES INC,2006-03-31,2006-04-03,2006-04-04,2006-07-05,-0.0585,-0.0099,-0.0486,981802,1,0000060667-06-000069
AXP,AMERICAN EXPRESS CO,2006-04-28,2006-05-01,2006-05-02,2006-08-02,-0.0143,-0.0359,0.0217,808950,1,0001127602-06-001045
GE,GENERAL ELECTRIC CO,2006-05-12,2006-05-12,2006-05-15,2006-08-15,-0.0194,-0.0275,0.0081,515700,1,0001231205-06-000084
RVTY,PERKINELMER INC,2006-05-25,2006-05-30,2006-05-31,2006-08-31,-0.0996,0.0340,-0.1335,1014148,1,0001181431-06-033692
LOW,LOWES COMPANIES INC,2006-06-01,2006-06-01,2006-06-02,2006-09-05,-0.1437,0.0164,-0.1601,1002689,1,0000060667-06-000108
PSA,PUBLIC STORAGE INC /CA,2006-05-31,2006-06-02,2006-06-05,2006-09-05,0.1685,0.0149,0.1536,2192700,1,0001222281-06-000006
CAT,CATERPILLAR INC,2006-07-26,2006-07-27,2006-07-28,2006-10-30,-0.1383,0.1045,-0.2428,7718700,1,0000018230-06-000361
AMD,ADVANCED MICRO DEVICES INC,2006-07-28,2006-08-01,2006-08-02,2006-11-02,0.0706,0.0914,-0.0208,1823000,1,0000002488-06-000006
GE,GENERAL ELECTRIC CO,2006-07-31,2006-08-01,2006-08-02,2006-11-02,0.0793,0.0914,-0.0121,523830,1,0001231205-06-000109
GWW,GRAINGER W W INC,2006-08-02,2006-08-03,2006-08-04,2006-11-06,0.1174,0.0755,0.0419,1244276,1,0001181431-06-045573
PGR,PROGRESSIVE CORP/OH/,2006-08-17,2006-08-21,2006-08-22,2006-11-22,-0.0206,0.0988,-0.1194,893968,1,0000080661-06-000118
FCX,FREEPORT MCMORAN COPPER & GOLD INC,2006-08-22,2006-08-23,2006-08-24,2006-11-24,0.0971,0.1075,-0.0105,569293,1,0001246360-06-002172
MDT,MEDTRONIC INC,2006-08-24,2006-08-28,2006-08-29,2006-11-29,0.1356,0.0824,0.0532,1156430,1,0000064670-06-000047
AAPL,APPLE COMPUTER INC,2006-09-05,2006-09-07,2006-09-08,2006-12-08,0.1889,0.1085,0.0804,697930,1,0001181431-06-051735
PSA,PUBLIC STORAGE INC /CA,2006-09-07,2006-09-08,2006-09-11,2006-12-11,0.1104,0.1022,0.0082,1032480,1,0001222281-06-000010
ALL,ALLSTATE CORP,2006-09-21,2006-09-22,2006-09-25,2006-12-26,0.0790,0.0801,-0.0011,1519750,1,0000899051-06-000050
CAG,CONAGRA FOODS INC /DE/,2006-10-03,2006-10-04,2006-10-05,2007-01-05,0.1193,0.0592,0.0601,1836000,1,0000023217-06-000049
GE,GENERAL ELECTRIC CO,2006-10-18,2006-10-18,2006-10-19,2007-01-19,0.0572,0.0490,0.0082,517650,1,0001231205-06-000171
BAC,BANK OF AMERICA CORP /DE/,2006-10-20,2006-10-23,2006-10-24,2007-01-24,0.0106,0.0499,-0.0393,532549,1,0001225208-06-005092
FHN,FIRST HORIZON NATIONAL CORP,2006-10-23,2006-10-25,2006-10-26,2007-01-26,0.0449,0.0420,0.0029,9577008,1,0000036966-06-000114
GLW,CORNING INC /NY,2006-10-26,2006-10-26,2006-10-27,2007-01-29,-0.0070,0.0374,-0.0444,996400,1,0000024741-06-000343
SLM,SLM CORP,2006-10-24,2006-10-26,2006-10-27,2007-01-29,-0.0555,0.0374,-0.0929,7135052,1,0001032033-06-000054
AMD,ADVANCED MICRO DEVICES INC,2006-11-01,2006-11-02,2006-11-03,2007-02-05,-0.2487,0.0823,-0.3310,2085000,1,0000002488-06-000023
JCI,JOHNSON CONTROLS INC,2006-12-21,2006-12-22,2006-12-26,2007-03-26,0.0420,0.0443,-0.0023,703600,1,0001199237-06-000003
MS,MORGAN STANLEY,2006-12-22,2006-12-26,2006-12-27,2007-03-27,-0.0109,0.0393,-0.0502,500028,1,0001209191-06-066976
FCX,FREEPORT MCMORAN COPPER & GOLD INC,2007-01-22,2007-01-23,2007-01-24,2007-04-24,0.2838,0.0563,0.2275,19984016,1,0001246360-07-000269
AXP,AMERICAN EXPRESS CO,2007-01-24,2007-01-26,2007-01-29,2007-04-30,0.0777,0.0698,0.0079,947538,1,0001127602-07-000306
GE,GENERAL ELECTRIC CO,2007-01-26,2007-01-26,2007-01-29,2007-04-30,0.0311,0.0698,-0.0388,727400,1,0001231205-07-000017
INTC,INTEL CORP,2007-01-25,2007-01-26,2007-01-29,2007-04-30,0.0527,0.0698,-0.0171,679800,1,0000050863-07-000083
ROK,ROCKWELL AUTOMATION INC,2007-02-07,2007-02-09,2007-02-12,2007-05-14,0.0185,0.0498,-0.0313,628500,1,0001246360-07-000598
FCX,FREEPORT MCMORAN COPPER & GOLD INC,2007-02-21,2007-02-23,2007-02-26,2007-05-29,0.2272,0.0346,0.1926,17764000,1,0001246360-07-000852
LIN,PRAXAIR INC,2007-02-26,2007-02-28,2007-03-01,2007-06-01,0.1334,0.0821,0.0514,761853,1,0000884905-07-000017
C,CITIGROUP INC,2007-02-27,2007-03-01,2007-03-02,2007-06-04,0.0799,0.0903,-0.0104,3830500,1,0001181431-07-015897
MDT,MEDTRONIC INC,2007-03-08,2007-03-12,2007-03-13,2007-06-13,0.0622,0.0560,0.0062,999268,1,0000064670-07-000013
JCI,JOHNSON CONTROLS INC,2007-02-14,2007-03-26,2007-03-27,2007-06-27,0.0570,0.0330,0.0241,5970206,1,0001205040-07-000011
FCX,FREEPORT MCMORAN COPPER & GOLD INC,2007-03-26,2007-03-28,2007-03-29,2007-06-29,0.2815,0.0599,0.2217,12772000,1,0001246360-07-001260
GE,GENERAL ELECTRIC CO,2007-04-16,2007-04-17,2007-04-18,2007-07-18,0.1550,0.0444,0.1107,710800,1,0001231205-07-000048
MTB,M&T BANK CORP,2007-04-19,2007-04-23,2007-04-24,2007-07-24,-0.0386,0.0283,-0.0670,2589610,1,0001209191-07-024964
AXP,AMERICAN EXPRESS CO,2007-04-24,2007-04-25,2007-04-26,2007-07-26,-0.0137,0.0000,-0.0137,1215610,1,0001127602-07-001583
FHN,FIRST HORIZON NATIONAL CORP,2007-04-24,2007-04-25,2007-04-26,2007-07-26,-0.1467,0.0000,-0.1467,1158900,1,0000036966-07-000049
MSFT,MICROSOFT CORP,2007-05-01,2007-05-01,2007-05-02,2007-08-02,-0.0364,-0.0256,-0.0107,3000000,1,0001193099-07-000017
JCI,JOHNSON CONTROLS INC,2007-05-18,2007-05-21,2007-05-22,2007-08-22,-0.6067,-0.0631,-0.5436,2112000,1,0001205040-07-000017
AFL,AFLAC INC,2007-06-04,2007-06-06,2007-06-07,2007-09-07,0.0116,-0.0446,0.0561,528890,1,0000004977-07-000047
EOG,EOG RESOURCES INC,2007-06-06,2007-06-08,2007-06-11,2007-09-11,-0.0638,-0.0599,-0.0040,1540606,1,0000821189-07-000130
CMCSA,COMCAST CORP,2007-06-08,2007-06-11,2007-06-12,2007-09-12,-0.0259,-0.0487,0.0228,998665,1,0001236186-07-000102
MDT,MEDTRONIC INC,2007-06-25,2007-06-27,2007-06-28,2007-09-28,0.1014,-0.0098,0.1113,1033474,1,0000064670-07-000048
JCI,JOHNSON CONTROLS INC,2007-07-20,2007-07-23,2007-07-24,2007-10-24,-0.1524,-0.0300,-0.1225,2400400,1,0001205040-07-000021
BNY,Bank of New York Mellon CORP,2007-07-23,2007-07-25,2007-07-26,2007-10-26,0.1326,-0.0178,0.1504,1597017,1,0001390777-07-000036
GE,GENERAL ELECTRIC CO,2007-07-30,2007-07-30,2007-07-31,2007-10-31,0.0342,0.0227,0.0115,971984,1,0001231205-07-000087
MAR,MARRIOTT INTERNATIONAL INC /MD/,2007-07-27,2007-07-30,2007-07-31,2007-10-31,-0.0265,0.0227,-0.0492,1015000,1,0001048286-07-000261
TEX,TEREX CORP,2007-07-27,2007-07-31,2007-08-01,2007-11-01,-0.1622,0.0465,-0.2087,918500,1,0000097216-07-000240
SLB,SCHLUMBERGER LTD /NV/,2007-08-07,2007-08-07,2007-08-08,2007-11-08,0.0671,-0.0160,0.0831,1046771,1,0001262167-07-000046
ALL,ALLSTATE CORP,2007-08-06,2007-08-08,2007-08-09,2007-11-09,-0.0102,-0.0248,0.0146,535698,1,0000899051-07-000071
AXP,AMERICAN EXPRESS CO,2007-08-08,2007-08-08,2007-08-09,2007-11-09,-0.0871,-0.0248,-0.0623,1994560,1,0001127602-07-003260
STT,STATE STREET CORP,2007-08-09,2007-08-10,2007-08-13,2007-11-13,0.0819,-0.0184,0.1003,981200,1,0000093751-07-000106
GAP,GAP INC,2007-08-10,2007-08-13,2007-08-14,2007-11-14,0.1820,0.0093,0.1727,2332326,1,0001181431-07-052080
RF,REGIONS FINANCIAL CORP,2007-08-10,2007-08-14,2007-08-15,2007-11-15,-0.1219,0.0225,-0.1444,1002980,1,0001281761-07-000149
TEL,Tyco Electronics Ltd.,2007-08-13,2007-08-14,2007-08-15,2007-11-15,-0.0028,0.0225,-0.0253,828070,1,0001225208-07-007558
LEN,LENNAR CORP /NEW/,2007-08-16,2007-08-20,2007-08-21,2007-11-21,-0.4654,-0.0197,-0.4457,845100,1,0001182489-07-000856
CB,CHUBB CORP,2007-07-26,2007-08-23,2007-08-24,2007-11-26,0.0101,-0.0281,0.0382,523300,1,0000020171-07-000307
NWL,NEWELL RUBBERMAID INC,2007-08-23,2007-08-24,2007-08-27,2007-11-27,0.0263,-0.0617,0.0881,528001,1,0000814453-07-000143
MDT,MEDTRONIC INC,2007-08-23,2007-09-05,2007-09-06,2007-12-06,-0.0324,0.0058,-0.0382,1051600,1,0000064670-07-000073
D,DOMINION RESOURCES INC /VA/,2007-09-06,2007-09-07,2007-09-10,2007-12-10,0.1375,0.0394,0.0982,849900,1,0001225208-07-008241
JEF,JEFFERIES GROUP INC /DE/,2007-09-10,2007-09-11,2007-09-12,2007-12-12,0.0956,0.0061,0.0896,753249,1,0001242048-07-000005
PGR,PROGRESSIVE CORP/OH/,2007-09-17,2007-09-18,2007-09-19,2007-12-19,-0.0787,-0.0483,-0.0304,831016,1,0000080661-07-000083
FHN,FIRST HORIZON NATIONAL CORP,2007-10-19,2007-10-22,2007-10-23,2008-01-23,-0.3599,-0.1346,-0.2252,1216500,1,0000036966-07-000073
GE,GENERAL ELECTRIC CO,2007-10-22,2007-10-22,2007-10-23,2008-01-23,-0.1545,-0.1346,-0.0199,3326612,1,0001231205-07-000147
WHR,WHIRLPOOL CORP /DE/,2007-10-24,2007-10-25,2007-10-26,2008-01-28,-0.0845,-0.1122,0.0277,843300,1,0001224295-07-000004
AAPL,APPLE INC,2006-02-28,2007-10-26,2007-10-29,2008-01-29,-0.2928,-0.1047,-0.1881,696071,1,0001181431-07-063848
MTG,MGIC INVESTMENT CORP,2007-10-26,2007-10-26,2007-10-29,2008-01-29,-0.1414,-0.1047,-0.0367,988500,1,0000876437-07-000084
ZION,ZIONS BANCORPORATION /UT/,2007-11-01,2007-11-01,2007-11-02,2008-02-04,0.0016,-0.0494,0.0510,564943,1,0000109380-07-000143
NTRS,NORTHERN TRUST CORP,2007-11-05,2007-11-06,2007-11-07,2008-02-07,-0.0798,-0.1000,0.0202,8372728,1,0000895813-07-000134
BAC,BANK OF AMERICA CORP /DE/,2007-11-06,2007-11-07,2007-11-08,2008-02-08,0.0115,-0.0643,0.0757,500500,1,0001225208-07-009717
AXP,AMERICAN EXPRESS CO,2007-11-09,2007-11-13,2007-11-14,2008-02-14,-0.2071,-0.0590,-0.1481,1094967,1,0001127602-07-004502
COF,CAPITAL ONE FINANCIAL CORP,2007-11-08,2007-11-13,2007-11-14,2008-02-14,-0.1566,-0.0590,-0.0976,572000,1,0000927628-07-000048
NI,NISOURCE INC/DE,2007-11-09,2007-11-13,2007-11-14,2008-02-14,0.0341,-0.0590,0.0931,537175,1,0001111711-07-000211
HOG,HARLEY DAVIDSON INC,2007-11-14,2007-11-16,2007-11-19,2008-02-19,-0.1951,-0.0524,-0.1427,4888350,1,0001225208-07-010093
TEX,TEREX CORP,2007-11-20,2007-11-20,2007-11-21,2008-02-21,0.1711,-0.0247,0.1957,1137200,1,0000097216-07-000354
CAH,CARDINAL HEALTH INC,2007-11-26,2007-11-27,2007-11-28,2008-02-28,0.0510,-0.0004,0.0515,1149972,1,0000950145-07-000064
DDS,DILLARDS INC,2007-11-27,2007-11-28,2007-11-29,2008-02-29,-0.1801,-0.0432,-0.1369,1752000,1,0001187376-07-000007
KR,KROGER CO,2007-12-12,2007-12-12,2007-12-13,2008-03-13,-0.0390,-0.0969,0.0579,1071600,1,0001209191-07-069271
GE,GENERAL ELECTRIC CO,2007-12-18,2007-12-18,2007-12-19,2008-03-19,0.0017,-0.0604,0.0621,1280521,1,0001231205-07-000153
MAR,MARRIOTT INTERNATIONAL INC /MD/,2007-12-14,2007-12-18,2007-12-19,2008-03-19,0.0147,-0.0604,0.0751,963900,1,0001048286-07-000326
GE,GENERAL ELECTRIC CO,2008-01-22,2008-01-22,2008-01-23,2008-04-23,-0.0286,0.0872,-0.1157,838715,1,0001231205-08-000017
PH,PARKER HANNIFIN CORP,2008-01-22,2008-01-24,2008-01-25,2008-04-25,0.2526,0.0587,0.1939,998420,1,0000076334-08-000006
JCI,JOHNSON CONTROLS INC,2008-01-24,2008-01-25,2008-01-28,2008-04-28,0.2558,0.0816,0.1742,1973400,1,0001205040-08-000007
T,AT&T INC.,2008-01-25,2008-01-25,2008-01-28,2008-04-28,0.1101,0.0816,0.0285,2274300,1,0001225208-08-001557
C,CITIGROUP INC,2008-01-24,2008-01-28,2008-01-29,2008-04-29,-0.0283,0.0612,-0.0895,4998160,1,0001181431-08-005781
DHR,DANAHER CORP /DE/,2008-01-31,2008-02-04,2008-02-05,2008-05-05,0.0548,0.0436,0.0112,2125011,1,0001181431-08-007179
D,DOMINION RESOURCES INC /VA/,2008-02-04,2008-02-05,2008-02-06,2008-05-06,0.0484,0.0720,-0.0236,875853,1,0001225208-08-002166
EMR,EMERSON ELECTRIC CO,2008-02-08,2008-02-12,2008-02-13,2008-05-13,0.1016,0.0607,0.0409,2108355,1,0000950138-08-000121
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,2008-02-13,2008-02-13,2008-02-14,2008-05-14,0.1730,0.0471,0.1259,800000,1,0001232701-08-000002
MBI,MBIA INC,2008-02-13,2008-02-14,2008-02-15,2008-05-15,-0.2234,0.0703,-0.2937,300000012,1,0000898822-08-000220
MRSH,"MARSH & MCLENNAN COMPANIES, INC.",2008-02-14,2008-02-15,2008-02-19,2008-05-19,0.1065,0.0794,0.0271,856020,1,0000062709-08-000042
MTG,MGIC INVESTMENT CORP,2008-02-15,2008-02-19,2008-02-20,2008-05-20,-0.0462,0.0809,-0.1271,598854,1,0000876437-08-000029
